date,icao,weather_delay
2016-01-20 14:00:00+00:00,KBNA,278.0
2016-01-20 15:10:00+00:00,KBNA,2.0
2016-01-20 15:28:00+00:00,KBNA,104.0
2016-01-20 15:40:00+00:00,KBNA,205.0
2016-01-20 16:18:00+00:00,KBNA,72.0
2016-01-20 18:34:00+00:00,KBNA,75.0
2016-01-20 20:24:00+00:00,KBNA,4.0
2016-01-20 22:35:00+00:00,KBNA,3.0
2016-01-20 22:55:00+00:00,KBNA,12.0
2016-01-21 13:55:00+00:00,KBNA,45.0
2016-01-22 11:30:00+00:00,KBNA,318.0
2016-01-22 12:00:00+00:00,KBNA,232.0
2016-01-22 12:05:00+00:00,KBNA,8.0
2016-01-22 12:20:00+00:00,KBNA,317.0
2016-01-22 12:35:00+00:00,KBNA,348.0
2016-01-22 12:40:00+00:00,KBNA,214.0
2016-01-22 12:45:00+00:00,KBNA,176.0
2016-01-22 13:25:00+00:00,KBNA,402.0
2016-01-22 13:35:00+00:00,KBNA,94.0
2016-01-22 13:45:00+00:00,KBNA,72.0
2016-01-22 13:55:00+00:00,KBNA,66.0
2016-01-22 13:55:00+00:00,KBNA,74.0
2016-01-22 13:55:00+00:00,KBNA,92.0
2016-01-22 13:55:00+00:00,KBNA,136.0
2016-01-22 13:55:00+00:00,KBNA,140.0
2016-01-22 14:00:00+00:00,KBNA,93.0
2016-01-22 14:00:00+00:00,KBNA,128.0
2016-01-22 14:00:00+00:00,KBNA,345.0
2016-01-22 14:15:00+00:00,KBNA,3.0
2016-01-22 14:20:00+00:00,KBNA,114.0
2016-01-22 15:35:00+00:00,KBNA,37.0
2016-01-22 15:59:00+00:00,KBNA,12.0
2016-01-22 16:15:00+00:00,KBNA,25.0
2016-01-22 16:30:00+00:00,KBNA,40.0
2016-01-22 22:35:00+00:00,KBNA,6.0
